,gene,moduleColor
604,LSM1,brown
605,LOC100190115,brown
606,LOC100229898,brown
607,LHPP,brown
608,EMC2,brown
609,DPCD,blue
610,GTF2H5,black
611,AP3S2,brown
612,DTD1,black
613,MIR2954,red
614,TALDO1,blue
615,TMEM138,brown
616,NINJ1,black
617,MRPL28,grey
618,C8H1orf123,black
619,MRPS36,black
620,TPM1,pink
621,LOC100189962,grey
622,LRRC59,pink
623,DERL3,blue
624,NDUFAF4,blue
625,LOC100190729,brown
626,ACYP1,pink
627,ELOVL2,blue
628,PANK4,grey
629,TMEM208,brown
630,LMO1,pink
631,NIPSNAP1,brown
632,LOC100190114,black
633,PDZD11,blue
634,LOC100190576,black
635,NDUFA2,black
636,SEC11A,pink
637,LOC100190183,pink
638,LRRC3B,black
639,HMGN1,black
640,VPS26A,brown
641,TOM1L2,grey
642,JMJD8,blue
643,LOC100190410,pink
644,SLC7A6OS,grey
645,LOC100190611,grey
646,SAT1,black
647,PSMC3IP,brown
648,IL34,blue
649,MIR181A-1,black
650,ATPAF1,black
651,LOC100190096,brown
652,LOC100227516,brown
653,TMEM120B,red
654,FRG1,brown
655,TIMM9,blue
656,TUSC3,black
657,ARFRP1,pink
658,TTC1,grey
659,NUS1,black
660,LOC100190097,brown
661,PGD,brown
662,POLR2H,brown
663,LSM6,blue
664,MIR181B-1,black
665,FMC1,brown
666,SYT4,blue
667,MRPL42,black
668,ANAPC16,brown
669,PSMG3,blue
670,GTF2A2,black
671,SCARB2,pink
672,SNX24,black
673,SYS1,grey
674,MIR2965,brown
675,CETN3,red
676,NUP35,black
677,RNF126,red
678,TIMM22,brown
679,LOC100220586,brown
680,CDKN1B,grey
681,PYCR1,blue
682,LOC100190657,pink
683,BCAS2,brown
684,FNDC9,pink
685,LOC100190521,black
686,CREBL2,blue
687,LOC100190440,black
688,SPHKAP,blue
689,LOC100218080,pink
690,MRPL2,brown
691,CCDC25,grey
692,LSM3,grey
693,SAR1B,black
694,CMC2,black
695,LOC100189939,black
696,RNF121,brown
697,BSDC1,brown
698,TATDN3,black
699,MZT1,black
700,AKR7A2,brown
701,IER3IP1,black
702,S100B,blue
703,LOC100190032,red
704,PPCS,brown
705,PTPRD,red
706,YIPF6,brown
707,ANXA4,pink
708,LOC100190443,blue
709,CETN2,blue
710,MED10,blue
711,MIR2960,black
712,SDF2L1,pink
713,PARL,grey
714,LOC100190168,black
715,LOC100190137,grey
716,CDC26,brown
717,RABL2A,brown
718,MRPL22,pink
719,LYRM4,black
720,NOL12,brown
721,CHCHD6,pink
722,LOC100190376,brown
723,ERCC5,brown
724,SLC17A6,blue
725,GMPPB,brown
726,ZFAND3,brown
727,MED9,blue
728,LOC100189956,brown
729,MED30,black
730,PCYT1B,pink
731,MOSPD2,brown
732,FAM13A,red
733,C1H21orf59,blue
734,IFI6,pink
735,ATP1A1,blue
736,MIR2985-2,blue
737,NUDCD2,pink
738,MLEC,pink
739,MAD2L2,blue
740,LOC100190112,blue
741,UBE2B,black
742,DECR1,black
743,SYF2,brown
744,LOC100190368,black
745,CNTNAP2,red
746,LSM4,brown
747,NR3C2,blue
748,FN3KRP,blue
749,BNIP1,pink
750,PIN4,brown
751,TIMM10,brown
752,DUT,grey
753,LOC100221944,black
754,C23H1orf109,red
755,MED7,pink
756,LOC100190336,brown
757,MRPS23,pink
758,GNG12,grey
759,CLYBL,blue
760,MIR2961,brown
761,CDK2AP1,black
762,DDT,brown
763,FARP1,black
764,PDRG1,grey
765,SLC25A27,blue
766,LOC100190360,brown
767,LOC100190002,grey
768,NQO2,blue
769,RPP14,black
770,SNRPA1,brown
771,NDUFAF1,black
772,CCDC134,blue
773,ECHS1,brown
774,LOC100190693,brown
775,TLK2,blue
776,SELENOP,blue
777,STRBP,brown
778,NEU2,red
779,RPF2,black
780,CHD1,brown
781,LOC100190084,black
782,ATG12,blue
783,LOC100190562,brown
784,ASB3,blue
785,BIVM,red
786,SFT2D1,black
787,MRPL30,pink
788,DYNLT1,blue
789,RNF113A2,grey
790,LOC100190356,brown
791,MAPKAPK5,blue
792,LOC100190229,grey
793,EAPP,black
794,LHFPL5,grey
795,SELENON,brown
796,ALDH3A2,brown
797,FAM173A,brown
798,ZMYND19,brown
799,RFXANK,brown
800,RMDN1,black
801,MMAB,blue
802,RAB3GAP2,black
803,LOC100190711,brown
804,LOC100190630,pink
805,RPRD1B,grey
806,LOC100189957,brown
807,NTHL1,brown
808,TPM4,pink
809,LOC100190656,pink
810,ASPH,blue
811,LOC100189937,black
812,DBX2,blue
813,DNAJC17,grey
814,TRUB2,pink
815,LOC100190255,black
816,RRP7A,blue
817,TFDP1,black
818,CSRP2,black
819,ETFRF1,grey
820,IMMP1L,pink
821,DNALI1,blue
822,LOC100190199,blue
823,DNAJC25,black
824,AK6,blue
825,LOC100190169,brown
826,EBNA1BP2,blue
827,DICER1,brown
828,LIMD2,blue
829,TENM3,blue
830,RPUSD4,brown
831,LYRM1,black
832,PAK1IP1,brown
833,NTPCR,blue
834,MOB3A,brown
835,ALG2,pink
836,CNEP1R1,black
837,GADD45B,red
838,CREB1,red
839,PTS,black
840,FOXP2,blue
841,TMEM39B,brown
842,ZFYVE21,black
843,RGS20,red
844,RCC1,brown
845,MIRLET7B,blue
846,TAGLN,blue
847,TRPM7,brown
848,LOC100190031,black
849,CRH,blue
850,ENY2,black
851,CENPS,blue
852,MIR21,black
853,LOC100190131,brown
854,APRT,blue
855,CCDC137,brown
856,FEM1C,red
857,LOC100190450,pink
858,MTNR1B,grey
859,MRRF,pink
860,LOC100190001,blue
861,TBL1X,blue
862,SNRNP35,grey
863,ARHGAP32,black
864,SELENOO,blue
865,NUDT4,blue
866,C10H15orf61,pink
867,ORC6,blue
868,CXCL12,pink
869,NR2F2,black
870,ANAPC13,black
871,CCDC58,black
872,PMS2,pink
873,PTGES3L,pink
874,TP53RK,pink
875,MIR125-2,blue
876,VWF,blue
877,COQ9,brown
878,IFT43,blue
879,AKAP2,grey
880,MIR128-2,black
881,NSMCE1,black
882,COX19,black
883,LOC100189967,brown
884,PTGR2,grey
885,LOC100190429,grey
886,PKIG,blue
887,MIRLET7F,grey
888,SHISA5,black
889,BAG2,pink
890,MIR146A,grey
891,PRR5,blue
892,LOC100189947,blue
893,MIR222-1,blue
894,MIR222-2,blue
895,MIR2959,grey
896,LOC100190637,brown
897,GJB1,blue
898,MIR24,yellow
899,LOC100190592,pink
900,MIR2978,black
901,MIR139,black
902,LOC100226305,brown
903,ST6GAL1,black
904,DIABLO,brown
905,RHOBTB3,brown
906,FABP1,grey
907,C21H1orf50,pink
908,BAMBI,black
909,ARHGAP29,blue
910,MIR147,grey
911,MIR23,yellow
912,MIR29A-2,grey
913,ST6GAL2,blue
914,FANCL,grey
915,MIR153-2,blue
916,MIR92-1,blue
917,LOC101232916,blue
918,MIR137,blue
919,PALM2,blue
920,SLC40A1,red
921,IFT20,grey
922,CYBASC3,brown
923,MIRLET7I,grey
924,LOC100189969,brown
925,DNAJB13,blue
926,MIR125-1,blue
927,MIR16C,grey
928,MIR7-1,grey
929,TEN1,blue
930,LOC100190600,brown
931,NRN1,blue
932,HBAP,grey
933,MIR2976-2,brown
934,TNNI3K,blue
935,SNHG3,blue
936,LOC100190607,black
937,DAP,blue
938,MIR128-1,blue
939,MIR133-1,blue
940,MIR124-2,blue
941,MYLK,blue
942,MIRLET7A-3,grey
943,CD9,black
944,MIR107,green
945,MIR124-3,grey
946,LOC100189941,blue
947,PRKDC,brown
948,MIR2958,grey
949,MIR2975,black
950,MIR15C,grey
951,LOC100190135,blue
952,CSF1R,red
953,MIR15A,grey
954,MIR187,grey
955,MIR2992,green
956,DIO2,grey
957,MIR103-2,grey
958,NTS,blue
959,RAX,blue
960,CSF1,blue
961,STON1,black
962,SMCO4,grey
963,AIFM2,green
964,MIR1759,green
965,MIR27,grey
966,MIR16A,yellow
967,MIRLET7A-4,grey
968,RXRG,blue
969,MIR138-2,blue
970,ZSWIM7,brown
971,MIR130B,blue
972,LOC100190373,blue
973,MYCT1,blue
974,MIR2969,pink
975,NCALD,blue
976,MIR135A-1,black
977,MIR1744,blue
978,MIR135B,blue
979,MIR124-1,grey
980,MIR148,blue
981,PNPLA2,grey
982,MIR7644,black
983,LOC100190055,black
984,QRFPR,blue
985,MIR219B,red
986,MTNR1A,blue
987,LOC100190186,yellow
988,MIR1781,red
989,LOC100190059,yellow
990,MIRLET7A-1,blue
991,MIR7-4,blue
992,MIR1756,green
993,B3GNT7,blue
994,MIR2968,yellow
995,ALDH1A2,blue
996,FOXP4,blue
997,TMEM80,blue
998,PACSIN3,black
999,BDNF,blue
1000,MIR144,grey
1001,MIR34A,green
1002,MIR193A,green
1003,MIR1-2,blue
1004,MIR2983,grey
1005,LEP,brown
1006,NME1,blue
1007,MIR30E,black
1008,LOC100225627,blue
1009,LOC100190325,black
1010,MIR2987,grey
1011,RHO,blue
1012,MIR2979-2,grey
1013,MIR2979-1,grey
1014,MIR2989-1,pink
1015,MIR2989-2,pink
1016,EBF2,black
1017,MIRLET7A-2,grey
1018,MIRLET7E,blue
1019,MIR2131,pink
1020,MIR1729,blue
1021,AR,grey
1022,MIR365-2,blue
1023,SCT,blue
1024,MIR2986,greenyellow
1025,LEPR,blue
1026,MIR2970,black
1027,LOC100190635,blue
1028,TLR4,brown
1029,IGF2,blue
1030,JCHAIN,pink
1031,LOC100190595,black
1032,MIR100-2,grey
1033,MIR100-1,grey
1034,MIR103-1,grey
1035,MIR103-3,grey
1036,STAR,pink
1037,S100A1,blue
1038,TXNRD1,green
1039,LOC100225918,grey
1040,LHX9,black
1041,HSD3B1,pink
1042,MCPH1,grey
1043,TTR,yellow
1044,ESR1,black
1045,LOC751972,blue
1046,CYP19A1,blue
1047,MIR30D,brown
1048,MIR30C,grey
1049,MIR30B,black
1050,MIR30A,grey
1051,LOC100190621,blue
1052,MIR551,green
1053,MIR490-2,green
1054,OPN1SW,blue
1055,MIR301,grey
1056,MIR219A,yellow
1057,MIR1662,blue
1058,MIR29B-1,green
1059,MIR29B-2,red
1060,MIR190,black
1061,MIR34B,blue
1062,MIR129,blue
1063,MIR126,black
1064,MIR2991,grey
1065,MIR2995,black
1066,MIR19A,green
1067,HOXD11,green
1068,MIR34C-1,blue
1069,TOMT,brown
1070,MIR31,green
1071,MIR32,yellow
1072,CYP11A1,pink
1073,MIR204-4,grey
1074,MIR29A-1,grey
1075,MIR451,grey
1076,MIR425,yellow
1077,MIRLET7C-2,grey
1078,MIR1467-1,greenyellow
1079,MIR1467-2,greenyellow
1080,MIR365-1,green
1081,MIR19B-1,black
1082,MIR130C,pink
1083,MIR130A,grey
1084,MIR338,green
1085,MIR2973,grey
1086,MIR2974,pink
1087,MIR2977,blue
1088,MIR1784,yellow
1089,MIR204-3,grey
1090,MIR204-2,blue
1091,MIR1397,red
1092,MIR205,grey
1093,MIR203,pink
1094,MIR18A,grey
1095,MIR20A,grey
1096,MIR2984,grey
1097,MIR2988,grey
1098,MIR133-3,grey
1099,MIR18B,brown
1100,MIR138-1,blue
1101,LOC100190017,black
1102,NKX2-5,blue
1103,MIRLET7C-1,grey
1104,MIR155,grey
1105,QRFP,grey
1106,MIR146B,yellow
1107,MIR146C,yellow
1108,MIR20B,blue
1109,MIRLET7G-1,green
1110,MIRLET7G-2,green
1111,MIR223,grey
1112,MIR2971,grey
1113,MIR7-2,green
1114,MIR7-3,green
1115,GNG13,grey
1116,MIR2966,grey
1117,MIR2967,grey
1118,MIR2962,black
1119,MIR2963,pink
1120,MIR2980-1,pink
1121,MIR2980-2,pink
1122,MIR17A,pink
1123,MIR460B,blue
1124,MIR153-1,pink
1125,MIR1460,grey
1126,MIR1451,red
1127,MIR363,grey
1128,MIR1805,grey
1129,MIR2955,blue
1130,MIR1677,grey
1131,RAX2,blue
1132,MIR2957,green
1133,MIR34C-2,blue
1134,MIR1791,grey
1135,MIR218-1,blue
1136,MIR199-2,black
1137,MIR181A-2,yellow
1138,MIR9-2,blue
1139,MIR92-2,grey
1140,MIR33,yellow
1141,MIR142,pink
1142,MIR140,yellow
1143,NR5A1,yellow
1144,MIR181B-2,magenta
1145,MIR199-1,grey
1146,MIR2976-3,green
1147,MIR218-2,blue
1148,MIR1559,magenta
1149,MIR2976-1,grey
1150,NPVF,black
1151,MIR454,grey
1152,MIR456,grey
1153,MIR458,blue
1154,MIR1329,yellow
1155,MIR200B,green
1156,GNRH1,grey
1157,MIR1743,green
1158,MIR101-2,blue
1159,MIR101-1,grey
1160,MIR2188,blue
1161,MIR2994,grey
1162,MIR489,grey
